year,mean_ic,days,median_n,ic_tstat
2010,-0.03483020437657628,252,608.5,-2.607694023512775
2011,0.06040956840268748,252,663.0,3.5839305718080388
2012,0.04382839599361676,250,672.0,3.2409725361216783
2013,0.06721048983360771,252,738.0,7.394353578853285
2014,0.03656101467953644,252,816.0,3.407556385209539
2015,0.02890645268911218,252,853.5,2.823541342566067
2016,0.03413095002082025,252,878.0,4.328852255361571
2017,0.04157948358883016,251,911.0,5.053695622538549
2018,0.033403737139612026,251,958.0,2.7483927441056095
2019,0.04032978672516336,252,962.0,3.7844451437070563
2020,0.03595710082505104,253,947.0,2.4755589912435627
2021,0.030381337272259546,252,993.0,2.0076612112892125
2022,-0.03031719933105915,251,994.0,-1.6477451165442731
2023,0.01717883494609067,250,998.0,1.6096473056923757
2024,0.004731445544450732,251,997.0,0.4125990800453177
